order_id,order_date,region,signup_channel,rating,customer_age,revenue,marketing_spend
5000,2025-06-03,north,paid_ad,5,35,247.4,83.16
5001,2025-01-17,west,referral,3,52,902.67,162.42
5002,2025-05-28,east,referral,4,28,363.68,74.96
5003,2025-06-08,west,organic,1,64,251.49,60.96
5004,2025-08-18,north,referral,5,41,320.1,93.42
5005,2025-02-10,east,paid_ad,2,35,186.79,100.4
5006,2025-05-23,west,organic,2,65,40.69,37.62
5007,2025-11-03,south,paid_ad,2,36,63.58,54.34
5008,2025-11-03,west,paid_ad,2,60,39.07,35.27
5009,2025-05-14,east,organic,2,57,106.45,77.8
5010,2025-02-21,north,organic,5,32,289.86,37.08
5011,2025-11-18,west,paid_ad,4,35,63.7,5.0
5012,2025-04-06,west,organic,1,57,1265.07,288.17
5013,2025-08-23,south,referral,2,70,78.47,70.96
5014,2025-12-16,east,paid_ad,2,49,723.7,182.17
5015,2025-03-29,east,paid_ad,1,37,155.33,73.13
5016,2025-03-08,east,referral,3,54,168.96,5.0
5017,2025-09-30,south,paid_ad,2,24,76.41,98.05
5018,2025-04-19,west,referral,4,66,349.46,85.1
5019,2025-11-27,south,organic,4,36,261.23,62.78
5020,2025-07-05,south,referral,5,48,214.7,121.65
5021,2025-06-30,east,paid_ad,3,28,10.76,38.18
5022,2025-10-05,east,referral,4,25,215.47,99.48
5023,2025-07-11,north,paid_ad,1,49,232.46,71.13
5024,2025-09-20,south,referral,1,22,38.26,16.19
5025,2025-05-12,north,referral,4,59,3.05,5.0
5026,2025-07-11,north,organic,4,35,530.81,145.7
5027,2025-04-02,west,paid_ad,3,40,86.1,97.39
5028,2025-04-11,west,paid_ad,3,47,18.42,50.82
5029,2025-11-15,west,referral,1,34,136.25,111.49
5030,2025-02-03,east,referral,4,50,229.91,83.96
5031,2025-06-29,south,organic,1,54,98.77,79.89
5032,2025-08-18,north,referral,5,30,9.78,42.15
5033,2025-07-22,east,referral,4,69,59.35,95.77
5034,2025-03-23,north,paid_ad,2,64,110.73,100.18
5035,2025-03-10,south,referral,5,20,61.3,55.05
5036,2025-08-25,west,referral,2,48,172.92,44.05
5037,2025-08-17,west,referral,4,38,491.67,60.88
5038,2025-03-19,north,referral,5,43,416.41,127.02
5039,2025-05-09,west,paid_ad,2,22,23.92,30.55
5040,2025-12-30,west,referral,5,48,137.78,74.23
5041,2025-03-05,east,organic,2,42,365.06,118.38
5042,2025-04-14,south,organic,4,38,86.96,117.45
5043,2025-11-20,north,organic,3,70,221.29,17.73
5044,2025-06-05,east,paid_ad,3,45,82.01,47.35
